Text,Label
,ham	I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
,"ham	Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
,ham	Ü no home work to do meh...
,ham	Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.
,ham	Dear how you. Are you ok?
,spam	Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
,ham	Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons?
,"ham	""I;m reaching in another 2 stops."""
,ham	I jokin oni lar.. Ü busy then i wun disturb ü.
,ham	Oh yah... We never cancel leh... Haha
,ham	Got it..mail panren paru..
,spam	Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
,ham	Lol your always so convincing.
,spam	This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
,ham	Then i buy.
,"spam	URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
,ham	I know you mood off today
,"ham	Sorry, I can't help you on this."
,ham	hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx
,spam	Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
,ham	For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
,"spam	YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
,ham	Wewa is 130. Iriver 255. All 128 mb.
,ham	I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
,"spam	Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402."
,ham	I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
,ham	No no. I will check all rooms befor activities
,ham	I've reached sch already...
,"ham	No I'm good for the movie, is it ok if I leave in an hourish?"
,ham	Hey r ü still online? I've finished the formatting...
,spam	I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
,"spam	Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
,"spam	SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
,ham	I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?
,ham	&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
,ham	Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
,spam	Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
,ham	I cant pick the phone right now. Pls send a message
,ham	Lol for real. She told my dad I have cancer
,ham	Dear umma she called me now :-)
,ham	Yes princess! I want to make you happy...
,"spam	Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm"
,ham	I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
,ham	I love working from home :)
,ham	Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
,ham	Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
,ham	Wife.how she knew the time of murder exactly
,spam	Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
,"ham	Sir Goodmorning, Once free call me."
,ham	Nice.nice.how is it working?
,ham	Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).
,"ham	Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
,ham	Ok no prob
,ham	Oh really?? Did you make it on air? What's your talent?
,ham	Send me the new number
,"ham	Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng."
,ham	U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
,ham	You are a very very very very bad girl. Or lady.
,ham	Ü log off 4 wat. It's sdryb8i
,ham	K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
,spam	Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
,ham	THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
,ham	Yup but not studying surfing lor. I'm in e lazy mode today.
,ham	Okie
,"ham	Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too."
,"spam	Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck."
,"ham	It,,s a taxt massage....tie-pos argh ok! Lool!"
,ham	I will treasure every moment we spend together...
,ham	Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
,ham	Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!
,ham	It vl bcum more difficult..
,"ham	Alright, I'll head out in a few minutes, text me where to meet you"
,ham	Its a part of checking IQ
,ham	Ok but tell me half an hr b4 u come i need 2 prepare.
,"ham	Theoretically yeah, he could be able to come"
,ham	YO YO YO BYATCH WHASSUP?
,ham	I think i've fixed it can you send a test message?
,ham	Here got lots of hair dresser fr china.
,spam	Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
,ham	Just do what ever is easier for you
,ham	Can you do online transaction?
,ham	Dip's cell dead. So i m coming with him. U better respond else we shall come back.
,ham	Ok lor thanx... Ü in school?
,ham	Yup... I havent been there before... You want to go for the yoga? I can call up to book
,"ham	Sorry, I can't text &amp; drive coherently, see you in twenty"
,ham	Remind me how to get there and I shall do so
,ham	Ok.
,"spam	""For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk"""
,"ham	sorry brah, just finished the last of my exams, what up"
,ham	Jesus christ bitch I'm trying to give you drugs answer your fucking phone
,spam	from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
,ham	Hello which the site to download songs its urgent pls
,ham	He needs to stop going to bed and make with the fucking dealing
,ham	Got it. Seventeen pounds for seven hundred ml – hope ok.
,ham	Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
,ham	So that means you still think of teju
,spam	Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
,"spam	Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
,ham	His bday real is in april .
,ham	It has issues right now. Ill fix for her by tomorrow.
,ham	It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
,ham	Yes. I come to nyc for audiitions and am trying to relocate.
,"ham	Yes but i dont care! I need you bad, princess!"
,ham	K...k:)why cant you come here and search job:)
,ham	K. Did you call me just now ah?
,"spam	Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
,spam	You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
,spam	25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
,ham	Armand says get your ass over to epsilon
,ham	Hey so whats the plan this sat?
,ham	K:)k.are you in college?
,spam	Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
,"ham	Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
,ham	No plm i will come da. On the way.
,ham	Ok that's great thanx a lot.
,"ham	Velly good, yes please!"
,ham	Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
,ham	Okie... Thanx...
,ham	Shant disturb u anymore... Jia you...
,ham	I'm going 2 orchard now laready me reaching soon. U reaching?
,ham	Old Orchard near univ. How about you?
,ham	Hey. You got any mail?
,"ham	Sorry im getting up now, feel really bad- totally rejected that kinda me thing."
,ham	Where to get those?
,ham	:( but your not here....
,spam	Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
,ham	Cps is causing the outages to conserve energy.
,"spam	0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
,spam	You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
,ham	Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.
,ham	Hey i will be late... i'm at amk. Need to drink tea or coffee
,ham	Ok lor then we go tog lor...
,ham	Super da:)good replacement for murali
,"ham	Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
,ham	I.ll hand her my phone to chat wit u
,"ham	Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel..."
,ham	How are you with moneY...as in to you...money aint a thing....how are you sha!
,"ham	Awesome, I remember the last time we got somebody high for the first time with diesel :V"
,"spam	Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR"
,ham	Hello- thanx for taking that call. I got a job! Starts on monday!
,ham	I cant pick the phone right now. Pls send a message
,ham	I'll reach in ard 20 mins ok...
,spam	PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
,spam	U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.
,ham	Wot u up 2? Thout u were gonna call me!! Txt bak luv K
,ham	Pls send me the correct name da.
,ham	Don know:)this week i'm going to tirunelvai da.
,ham	Got smaller capacity one? Quite ex...
,ham	You see the requirements please
,ham	Yes its possible but dint try. Pls dont tell to any one k
,spam	URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893
,ham	Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
,ham	Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
,"ham	Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday."
,ham	Ok i juz receive..
,ham	will you like to be spoiled? :)
,"ham	Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
,ham	Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
,ham	Aight do you still want to get money
,ham	Kay... Since we are out already
,ham	:-( that's not v romantic!
,ham	Happy new year to u too!
,ham	I'm done...
,ham	Staff of placement training in Amrita college.
,"ham	No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
,ham	PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS)
,ham	So what did the bank say about the money?
,"spam	I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )"
,"ham	It‘s £6 to get in, is that ok?"
,ham	Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke
,ham	Waiting for your call.
,"ham	We're all getting worried over here, derek and taylor have already assumed the worst"
,ham	Ok lor but not too early. Me still having project meeting now.
,ham	Im just wondering what your doing right now?
,ham	A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
,"spam	Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123"
,ham	Yeah do! Don‘t stand to close tho- you‘ll catch something!
,ham	Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :)
,ham	Did he just say somebody is named tampa
,"ham	I'll text carlos and let you know, hang on"
,ham	Are you there in room.
,ham	Thought praps you meant another one. Goodo! I'll look tomorrow
,"ham	Sorry, I'll call later in meeting"
,ham	Ok leave no need to ask
,"ham	Hi Chikku, send some nice msgs"
,"spam	Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
,ham	Otherwise had part time job na-tuition..
,ham	10 min later k...
,ham	Yes we are chatting too.
,"ham	Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
,"ham	Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
,"ham	Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
,ham	No did you check? I got his detailed message now
,ham	But i'll b going 2 sch on mon. My sis need 2 take smth.
,"ham	Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!"
,ham	Hi da:)how is the todays class?
,ham	If you're not in my car in an hour and a half I'm going apeshit
,ham	Do you work all this week ?
,ham	MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
,ham	And by when you're done I mean now
,ham	The bus leaves at  &lt;#&gt;
,spam	<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
,ham	Nope thats fine. I might have a nap tho!
,ham	Hmmm.still we dont have opener?
,ham	I'm working technical support :)voice process.networking field.
,spam	Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
,ham	Love you aathi..love u lot..
,spam	Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
,ham	Watching ajith film ah?
,ham	did u get that message
,"spam	Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
,"ham	Yep, by the pretty sculpture"
,ham	Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
,ham	Sorry i missed your call. Can you please call back.
,ham	All will come alive.better correct any good looking figure there itself..
,ham	Also remember to get dobby's bowl from your car
,ham	Am only searching for good dual sim mobile pa.
,"ham	I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
,ham	I like to talk pa but am not able to. I dont know y.
,ham	Dont talk to him ever ok its my word.
,"ham	Vikky, come around  &lt;TIME&gt; .."
,ham	Convey my regards to him
,ham	Nvm take ur time.
,"ham	""ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx"""
,ham	All sounds good. Fingers . Makes it difficult to type
,ham	Anything lor but toa payoh got place 2 walk meh...
,ham	I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
,"ham	It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
,ham	Not..tel software name..
,ham	For my family happiness..
,ham	I will reach before ten morning
,"ham	Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"
,"ham	Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
,ham	I to am looking forward to all the sex cuddling.. Only two more sleeps
,ham	So the sun is anti sleep medicine.
,ham	Dont let studying stress you out. L8r.
,ham	Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time
,ham	She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
,"spam	BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
,"ham	aight we can pick some up, you open before tonight?"
,"spam	Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
,ham	Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...
,"ham	Sorry, I can't help you on this."
,"ham	Me, i dont know again oh"
,"ham	Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
,ham	Tell me they're female :V how're you throwing in? We're deciding what all to get now
,ham	I dunno they close oredi not... Ü v ma fan...
,ham	Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...
,ham	Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
,"ham	Yeah I should be able to, I'll text you when I'm ready to meet up"
,ham	I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx
,ham	I'll probably be around mu a lot
,ham	Wat u doing there?
,"ham	Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
,"spam	You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)"
,"ham	Yup. Anything lor, if u dun wan it's ok..."
,ham	I'm meeting Darren...
,ham	Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
,"ham	I'm in a meeting, call me later at"
,ham	U should make a fb list
,ham	No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
,ham	Send me your resume:-)
,"ham	I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
,"spam	UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
,ham	No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.
,spam	Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412
,ham	Okie.. Thanx..
,ham	TaKe CaRE n gET WeLL sOOn
,ham	If india win or level series means this is record:)
,ham	Are you willing to go for apps class.
,ham	Nobody can decide where to eat and dad wants Chinese
,ham	Hi kindly give us back our documents which we submitted for loan from STAPATI
,ham	Ok.ok ok..then..whats ur todays plan
,ham	Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx
,ham	K... Must book a not huh? so going for yoga basic on sunday?
,ham	Jus ans me lar. U'll noe later.
,ham	In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
,spam	Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705
,ham	Are you staying in town ?
,"spam	As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr"
,ham	Actually I decided I was too hungry so I haven't left yet :V
,ham	Wat r u doing now?
,"ham	Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!"
,ham	No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.
,ham	Argh why the fuck is nobody in town ;_;
,ham	Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
,ham	Ok ill tell the company
,ham	So how are you really. What are you up to. How's the masters. And so on.
,"spam	SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
,ham	Dear got bus directly to calicut
,ham	Love you aathi..love u lot..
,ham	Wat happened to the cruise thing
,ham	Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.
,ham	I‘m going to try for 2 months ha ha only joking
,ham	Pls call me da. What happen.
,"ham	Damn, poor zac doesn't stand a chance"
,ham	Ok. So april. Cant wait
,ham	Aiyah ok wat as long as got improve can already wat...
,"ham	Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
,ham	 &lt;#&gt;  in mca. But not conform.
,spam	<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
,ham	Jus finish bathing...
,"ham	Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
,ham	LOL ... Have you made plans for new years?
,ham	Sorry i'm not free...
,ham	Sounds like you have many talents! would you like to go on a dinner date next week?
,ham	But you dint in touch with me.
,ham	Do you know when dad will be back?
,ham	Do you like shaking your booty on the dance floor?
,ham	I dont. Can you send it to me. Plus how's mode.
,ham	I can send you a pic if you like :)
,ham	I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
,"ham	My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
,ham	Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
,ham	I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
,spam	U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870
,"ham	Sorry, I'll call later"
,"ham	No, I was trying it all weekend ;V"
,"ham	U so lousy, run already come back then half dead... Hee..."
,spam	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
,spam	Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
,"ham	Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx."
,"ham	Sorry, I'll call later in meeting"
,ham	The new deus ex game comin early next yr
,ham	We will meet soon princess! Ttyl!
,"ham	I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh"""
,"spam	cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP"
,ham	Gr8. So how do you handle the victoria island traffic. Plus when's the album due
,ham	I will once i get home
,ham	Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
,spam	Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly
,ham	You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
,ham	Oooh bed ridden ey? What are YOU thinking of?
,ham	WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
,spam	Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
,ham	Watching tv lor. Nice one then i like lor.
,ham	Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
,ham	G wants to know where the fuck you are
,spam	87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
,ham	Hahaha..use your brain dear
,ham	I could ask carlos if we could get more if anybody else can chip in
,ham	Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
,ham	Thanx 4 sending me home...
,ham	K...k:)why cant you come here and search job:)
,ham	Nice talking to you! please dont forget my pix :) i want to see all of you...
,ham	Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.
,"ham	Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
,ham	All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?
,"spam	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate"
,ham	Just sleeping..and surfing
,ham	Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
,ham	K.then any other special?
,ham	Oh you got many responsibilities.
,ham	Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
,ham	Ew are you one of them?
,ham	Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
