Preprocessed,Label
"['ok', 'theory', 'test', 'ü', 'going', 'book', 'think', '21', 'may', 'coz', 'thought', 'wanna', 'go', 'jiayin', 'isnt', 'free']",ham
"['well', 'done', 'luv', 'ya']",ham
"['yeah', 'go', 'bed', 'back', 'midnight']",ham
"['urgent', 'last', 'weekend', 'draw', 'show', '1000', 'cash', 'spanish', 'holiday', 'call', '09050000332', 'claim', 'c', 'rstm', 'sw7', '3', '150ppm']",spam
"['haf', 'u', 'found', 'feel', 'stupid', 'da', 'v', 'cam', 'working']",ham
"['88066', 'lost', '12', 'help']",spam
"['guess', 'spent', 'last', 'night', 'phasing', 'fourth', 'dimension']",ham
"['dont', 'gimme', 'lip', 'caveboy']",ham
"['ok', 'ok', 'ok', 'whats', 'ur', 'today', 'plan']",ham
"['wot', 'u', 'wanna', 'missy']",ham
"['k', 'k', 'cant', 'come', 'search', 'job']",ham
"['thought', 'slide', 'enough']",ham
"['hello', 'boytoy', 'geeee', 'miss', 'already', 'woke', 'wish', 'bed', 'cuddling', 'love']",ham
"['cant', 'pick', 'phone', 'right', 'pls', 'send', 'message']",ham
"['lol', 'boo', 'hoping', 'laugh']",ham
"['tell', 'make', 'little', 'spreadsheet', 'track', 'whose', 'idea', 'smoke', 'determine', 'smoke', 'much', 'entire', 'month', 'february', 'come']",ham
"['bday', 'real', 'april']",ham
"['home', 'way']",ham
"['got', 'ur', 'favorite', 'oyster', 'n', 'got', 'favorite', 'sashimi', 'ok', 'lar', 'dun', 'say', 'already', 'wait', 'ur', 'stomach', 'start', 'rumbling']",ham
"['important', 'customer', 'service', 'announcement', 'call', 'freephone', '0800', '542', '0825']",spam
"['ard', '530', 'like', 'dat', 'lor', 'juz', 'meet', 'mrt', 'station', 'ü', 'dun', 'haf', 'come']",ham
"['hoping', 'enjoyed', 'game', 'yesterday', 'sorry', 'touch', 'pls', 'know', 'fondly', 'bein', 'thot', 'great', 'week', 'abiola']",ham
"['lol', 'alright', 'thinkin', 'haha']",ham
"['india', 'going', 'draw', 'series', 'many', 'year', 'south', 'african', 'soil']",ham
"['mm', 'kanji', 'dont', 'eat', 'anything', 'heavy', 'ok']",ham
"['simpson', 'movie', 'released', 'july', '2007', 'name', 'band', 'died', 'start', 'film', 'green', 'day', 'b', 'blue', 'day', 'c', 'red', 'day', 'send', 'b', 'c']",spam
"['solve', 'case', 'man', 'found', 'murdered', 'lt', 'decimal', 'gt', 'lt', 'gt', 'afternoon', '1', 'wife', 'called', 'police', '2', 'police', 'questioned', 'everyone', '3', 'wife', 'sir', 'sleeping', 'murder', 'took', 'place', '4', 'cook', 'cooking', '5', 'gardener', 'picking', 'vegetable', '6', 'house', 'maid', 'went', '2', 'post', 'office', '7', 'child', 'went', '2', 'play', '8', 'neighbour', 'went', '2', 'marriage', 'police', 'arrested', 'murderer', 'immediately', 'reply', 'reason', 'u', 'r', 'brilliant']",ham
"['free', 'entry', '2', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005', 'text', 'fa', '87121', 'receive', 'entry', 'question', 'std', 'txt', 'rate', 'c', 'apply', '08452810075over18']",spam
"['say', 'happen']",ham
"['spoon', 'okay']",ham
"['geeeee', 'love', 'much', 'barely', 'stand']",ham
"['goal', 'arsenal', '4', 'henry', '7', 'v', 'liverpool', '2', 'henry', 'score', 'simple', 'shot', '6', 'yard', 'pas', 'bergkamp', 'give', 'arsenal', '2', 'goal', 'margin', '78', 'min']",spam
"['sweet', 'may', 'may', 'go', '4u', 'meet', 'carlos', 'gauge', 'patty', 'interest']",ham
"['yun', 'buying', 'school', 'got', 'offer', '2000', 'plus']",ham
['lei'],ham
"['reason', 'spoken', 'year', 'anyways', 'great', 'week', 'best', 'exam']",ham
"['urgent', 'trying', 'contact', 'u', 'today', 'draw', 'show', '800', 'prize', 'guaranteed', 'call', '09050001295', 'land', 'line', 'claim', 'a21', 'valid', '12hrs']",spam
"['great', 'news', 'call', 'freefone', '08006344447', 'claim', 'guaranteed', '1000', 'cash', '2000', 'gift', 'speak', 'live', 'operator']",spam
"['ü', 'send', 'content', 'page']",ham
"['call', 'later', 'network', 'urgnt', 'sm']",ham
"['come', 'online', 'today', 'night']",ham
"['yes', 'completely', 'form', 'clark', 'also', 'utter', 'waste']",ham
"['lt', 'gt', 'w', 'jetton', 'ave', 'forgot']",ham
"['u', 'noe', 'wat', 'time', 'e', 'place', 'dat', 'sell', '4d', 'close']",ham
"['oh', 'okie', 'lor', 'go', 'sat']",ham
"['easy', 'ah', 'sen', 'got', 'selected', 'mean', 'good']",ham
"['driving', 'raining', 'get', 'caught', 'e', 'mrt', 'station', 'lor']",ham
"['thats', 'bit', 'weird', 'even', 'supposed', 'happening', 'good', 'idea', 'sure', 'pub']",ham
"['yeah', 'leave', 'couple', 'minute', 'amp', 'let', 'know', 'get', 'mu']",ham
"['hiya', 'sorry', 'hav', 'signal', 'seen', 'heard', 'neither', 'unusual', 'put', 'case', 'get', 'sort', 'hug', 'snogs']",ham
"['well', 'boy', 'glad', 'g', 'wasted', 'night', 'applebees', 'nothing']",ham
"['wake', 'long', 'ago', 'already', 'dunno', 'thing']",ham
"['juz', 'havent', 'woke', 'bit', 'blur', 'blur', 'dad', 'went', 'liao', 'cant', 'cum', 'oso']",ham
"['u', 'got', 'person', 'story']",ham
"['k', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'crashing', 'place', 'tonight']",ham
"['press', 'conference', 'da']",ham
"['call', 'unable', 'cal', 'let', 'meet', 'bhaskar', 'deep']",ham
"['two', 'carton', 'u', 'pleased', 'shelf']",ham
"['dorothy', 'kiefer', 'com', 'bank', 'granite', 'issue', 'strong', 'buy', 'explosive', 'pick', 'member', '300', 'nasdaq', 'symbol', 'cdgt', '5', '00', 'per']",spam
"['4mths', 'half', 'price', 'orange', 'line', 'rental', 'latest', 'camera', 'phone', '4', 'free', 'phone', '11mths', 'call', 'mobilesdirect', 'free', '08000938767', 'update', 'or2stoptxt']",spam
"['train', 'back', 'northampton', 'afraid', 'staying', 'skyving', 'today', 'ho', 'ho', 'around', 'wednesday', 'though', 'fancy', 'comedy', 'club', 'week', 'way']",ham
"['point', 'hangin', 'mr', 'right', 'makin', 'u', 'happy']",ham
"['reached', 'home', 'n', 'bathe', 'liao', 'u', 'call']",ham
"['enjoy', 'jamster', 'videosound', 'gold', 'club', 'credit', '2', 'new', 'videosounds', '2', 'logo', 'musicnews', 'get', 'fun', 'jamster', 'co', 'uk', '16', 'help', 'call', '09701213186']",spam
"['much', 'getting']",ham
"['gr8', 'poly', 'tone', '4', 'mob', 'direct', '2u', 'rply', 'poly', 'title', '8007', 'eg', 'poly', 'breathe1', 'title', 'crazyin', 'sleepingwith', 'finest', 'ymca', 'getzed', 'co', 'uk', 'pobox365o4w45wq', '300p']",spam
"['ha', 'know', 'either', 'clever', 'simple', 'thing', 'pear', 'day', 'perfect', 'christmas']",ham
"['ok', 'ill', 'tell', 'company']",ham
"['meant', 'apology', 'texting', 'get', 'drug', 'lt', 'gt', 'night']",ham
"['yes', 'possible', 'dint', 'try', 'pls', 'dont', 'tell', 'one', 'k']",ham
"['haha', 'good', 'hear', 'officially', 'paid', 'market', '8th']",ham
"['ya', 'ü', 'taking', 'ure', 'practical', 'lesson', 'start', 'june']",ham
"['free', '1st', 'week', 'no1', 'nokia', 'tone', '4', 'ur', 'mob', 'every', 'week', 'txt', 'nokia', '87077', 'get', 'txting', 'tell', 'ur', 'mate', 'zed', 'pobox', '36504', 'w45wq', 'norm150p', 'tone', '16']",spam
"['congrats', 'nokia', '3650', 'video', 'camera', 'phone', 'call', '09066382422', 'call', 'cost', '150ppm', 'ave', 'call', '3mins', 'vary', 'mobile', '16', 'close', '300603', 'post', 'bcm4284', 'ldn', 'wc1n3xx']",spam
"['hi', 'hun', 'im', 'comin', '2nite', 'tell', 'every1', 'im', 'sorry', '4', 'hope', 'u', 'ava', 'goodtime', 'oli', 'rang', 'melnite', 'ifink', 'mite', 'b', 'sorted', 'il', 'explain', 'everythin', 'mon', 'l8rs', 'x']",ham
"['themob', 'hit', 'link', 'get', 'premium', 'pink', 'panther', 'game', 'new', '1', 'sugababes', 'crazy', 'zebra', 'animation', 'badass', 'hoody', 'wallpaper', '4', 'free']",spam
"['purity', 'friendship', 'two', 'smiling', 'reading', 'forwarded', 'message', 'smiling', 'seeing', 'name', 'gud', 'evng', 'musthu']",ham
"['thanks', 'picking', 'trash']",ham
"['set', 'place', 'heart', 'mind', 'mind', 'easily', 'forgets', 'heart', 'always', 'remember', 'wish', 'happy', 'valentine', 'day']",ham
"['hiya', 'comin', '2', 'bristol', '1', 'st', 'week', 'april', 'le', 'got', 'rudi', 'new', 'yr', 'eve', 'snoring', 'drunk', 'u', 'bak', 'college', 'yet', 'work', 'sends', 'ink', '2', 'bath']",ham
"['pure', 'hearted', 'person', 'wonderful', 'smile', 'make', 'even', 'enemy', 'feel', 'guilty', 'enemy', 'catch', 'world', 'smile', 'goodmorning', 'amp', 'smiley', 'sunday']",ham
"['life', 'nothing', 'wen', 'v', 'get', 'everything', 'life', 'everything', 'wen', 'v', 'miss', 'something', 'real', 'value', 'people', 'wil', 'realized', 'absence', 'gud', 'mrng']",ham
"['together', 'thinkin']",ham
"['okay', 'wait', 'ah']",ham
"['oh', 'really', 'make', 'air', 'talent']",ham
"['currently', 'scotland']",ham
"['way', 'school', 'pls', 'send', 'ashley', 'number']",ham
"['opening', 'mca']",ham
"['thread', 'wishlist', 'section', 'forum', 'ppl', 'post', 'nitro', 'request', 'start', 'last', 'page', 'collect', 'bottom']",ham
"['gonna', 'ring', 'weekend', 'wot']",ham
"['haha', 'kidding', 'papa', 'need', 'drug']",ham
"['sale', 'arsenal', 'dartboard', 'good', 'condition', 'double', 'treble']",spam
"['give', 'sec', 'think', 'think']",ham
"['wnt', 'buy', 'bmw', 'car', 'urgently', 'vry', 'urgent', 'hv', 'shortage', 'lt', 'gt', 'lac', 'source', 'arng', 'dis', 'amt', 'lt', 'gt', 'lac', 'thats', 'prob']",ham
"['huh', 'early', 'ü', 'dinner', 'outside', 'izzit']",ham
"['cancelled', 'yeah', 'baby', 'well', 'sound', 'important', 'understand', 'darlin', 'give', 'ring', 'later', 'fone', 'love', 'kate', 'x']",ham
"['available', 'like', 'right', 'around', 'hillsborough', 'amp', 'lt', 'gt', 'th']",ham
"['campus', 'library']",ham
"['congratulation', 'ore', 'mo', 'owo', 'wa', 'enjoy', 'wish', 'many', 'happy', 'moment', 'fro', 'wherever', 'go']",ham
"['huh', 'slow', 'tot', 'u', 'reach', 'long', 'ago', 'liao', 'u', '2', 'day', '4', 'leh']",ham
"['hello', 'handsome', 'finding', 'job', 'lazy', 'working', 'towards', 'getting', 'back', 'net', 'mummy', 'boytoy', 'miss']",ham
"['smsservices', 'yourinclusive', 'text', 'credit', 'pls', 'goto', 'www', 'comuk', 'net', 'login', '3qxj9', 'unsubscribe', 'stop', 'extra', 'charge', 'help', '08702840625', 'comuk', '220', 'cm2', '9ae']",spam
"['gr8', 'see', 'message', 'r', 'u', 'leaving', 'congrats', 'dear', 'school', 'wat', 'r', 'ur', 'plan']",ham
"['mummy', 'boy', 'good', 'bad', 'positive', 'negative', 'mummy', 'made', 'wait', 'hmmmm']",ham
"['ok', 'may', 'free', 'gym']",ham
"['know', 'god', 'created', 'gap', 'finger', 'one', 'made', 'come', 'amp', 'fill', 'gap', 'holding', 'hand', 'love']",ham
"['mark', 'taking', 'forever', 'pick', 'prescription', 'pain', 'coming', 'back']",ham
"['leaving', 'house']",ham
"['moji', 'informed', 'saved', 'life', 'thanks']",ham
"['lol', 'busy']",ham
"['sm', 'service', 'inclusive', 'text', 'credit', 'pls', 'gotto', 'www', 'comuk', 'net', 'login', '3qxj9', 'unsubscribe', 'stop', 'extra', 'charge', 'help', '08702840625', 'comuk', '220cm2', '9ae']",spam
"['filthy', 'story', 'girl', 'waiting']",spam
"['december', 'mobile', '11mths', 'entitled', 'update', 'latest', 'colour', 'camera', 'mobile', 'free', 'call', 'mobile', 'update', 'co', 'free', '08002986906']",spam
"['farm', 'open']",ham
"['hear', 'new', 'divorce', 'barbie', 'come', 'ken', 'stuff']",spam
"['good', 'evening', 'ttyl']",ham
"['call', 'like', 'lt', 'gt', 'time', 'oh', 'give', 'u', 'hypertension', 'oh']",ham
"['time', 'month', 'mid', 'time']",ham
"['k', 'girl', 'waiting', 'reception', 'ah']",ham
"['part', 'checking', 'iq']",ham
"['get', '3', 'lion', 'england', 'tone', 'reply', 'lionm', '4', 'mono', 'lionp', '4', 'poly', '4', 'go', '2', 'www', 'ringtones', 'co', 'uk', 'original', 'n', 'best', 'tone', '3gbp', 'network', 'operator', 'rate', 'apply']",spam
"['purity', 'friendship', 'two', 'smiling', 'reading', 'forwarded', 'message', 'smiling', 'seeing', 'name', 'gud', 'evng']",ham
"['serious', 'like', 'proper', 'tongued']",ham
"['dude', 'im', 'longer', 'pisces', 'im', 'aquarius']",ham
"['lag', 'sad', 'part', 'keep', 'touch', 'thanks', 'skype']",ham
"['gud', 'ni8', 'dear', 'slp', 'well', 'take', 'care', 'swt', 'dream', 'muah']",ham
"['1', '000', 'cash', '2', '000', 'prize', 'claim', 'call09050000327', 'c', 'rstm', 'sw7', '3', '150ppm']",spam
"['hoping', 'would', 'send', 'message', 'rent', 'due', 'dont', 'enough', 'reserve', 'completely', 'gone', 'loan', 'need', 'hoping', 'could', 'balance', 'lt', 'gt', 'way', 'could', 'get', 'till', 'mid', 'march', 'hope', 'pay', 'back']",ham
"['hair', 'cream', 'shipped']",ham
"['gud', 'mrng', 'dear', 'hav', 'nice', 'day']",ham
"['one', 'stalk', 'profile']",ham
"['board', 'working', 'fine', 'issue', 'overheating', 'also', 'reslove', 'still', 'software', 'inst', 'pending', 'come', 'around', '8', 'clock']",ham
"['sir', 'waiting', 'mail']",ham
"['ello', 'babe', 'u', 'ok']",ham
"['thanx', '4', '2day', 'u', 'r', 'goodmate', 'think', 'ur', 'rite', 'sary', 'asusual', '1', 'u', 'cheered', 'love', 'u', 'franyxxxxx']",ham
"['okay', 'shining', 'meant', 'signing', 'sound', 'better']",ham
"['leave', 'u', 'always', 'ignorant']",ham
"['co', 'want', 'thing']",ham
"['dating', 'two', 'started', 'sent', 'text', 'talk', 'sport', 'radio', 'last', 'week', 'connection', 'think', 'coincidence']",spam
"['dude', 'fake', 'frnds', 'got', 'money', 'thts', 'reffering', 'u', 'u', 'member', 'wit', 'mail', 'link', 'u', 'vl', 'credited', 'lt', 'gt', 'r', 'il', 'getiing', 'lt', 'gt', 'r', 'draw', 'acc', 'wen', 'lt', 'gt', 'r']",ham
"['come', 'back', 'tampa', 'ffffuuuuuuu']",ham
"['coming', 'friday', 'leave', 'pongal', 'get', 'news', 'work', 'place']",ham
"['much', 'fight', 'good', 'nite']",ham
"['bold', '2', 'lt', 'gt']",ham
"['since', 'side', 'fever', 'vomitin']",ham
"['got', 'lt', 'gt']",ham
"['response', 'one', 'powerful', 'weapon', '2', 'occupy', 'place', 'others', 'heart', 'always', 'give', 'response', '2', 'care', '4', 'u', 'gud', 'night', 'swt', 'dream', 'take', 'care']",ham
"['babe', 'miiiiiiissssssssss', 'need', 'crave', 'geeee', 'sad', 'without', 'babe', 'love']",ham
"['wow', 'think', 'common', 'take', 'back', 'ur', 'freak', 'unless', 'u', 'chop']",ham
"['haha', 'cant', 'tmr', 'forfeit', 'haha']",ham
"['watching', 'surya', 'movie', '6', 'pm', 'vijay', 'movie', 'pokkiri']",ham
"['realy', 'sorry', 'recognise', 'number', 'confused', 'r', 'u', 'please']",ham
"['sad', 'puppy', 'noise']",ham
"['japanese', 'proverb', 'one', 'u', 'none', 'u', 'must', 'indian', 'version', 'one', 'let', 'none', 'leave', 'finally', 'kerala', 'version', 'one', 'stop', 'none', 'make', 'strike']",ham
['ok'],ham
"['spook', 'mob', 'halloween', 'collection', 'logo', 'pic', 'message', 'plus', 'free', 'eerie', 'tone', 'txt', 'card', 'spook', '8007', 'zed', '08701417012150p', 'per', 'logo', 'pic']",spam
"['text', 'creepy', 'like', 'think', 'forgot']",ham
"['wat', 'time', 'ü', 'finish']",ham
"['meanwhile', 'shit', 'suite', 'xavier', 'decided', 'give', 'u', 'lt', 'gt', 'second', 'warning', 'samantha', 'coming', 'playing', 'jay', 'guitar', 'impress', 'shit', 'also', 'think', 'doug', 'realizes', 'live', 'anymore']",ham
"['party', 'alex', 'nichols']",ham
"['wont', 'anything', 'de']",ham
"['ringtone', 'club', 'get', 'uk', 'single', 'chart', 'mobile', 'week', 'choose', 'top', 'quality', 'ringtone', 'message', 'free', 'charge']",spam
"['yoyyooo', 'u', 'know', 'change', 'permission', 'drive', 'mac', 'usb', 'flash', 'drive']",ham
"['85233', 'free', 'ringtone', 'reply', 'real']",spam
"['waking', '4', 'afternoon', 'sup']",ham
"['da', 'happy', 'sit', 'together', 'na']",ham
"['u', 'bin', 'awarded', '50', 'play', '4', 'instant', 'cash', 'call', '08715203028', 'claim', 'every', '9th', 'player', 'win', 'min', '50', '500', 'optout', '08718727870']",spam
"['dear', 'relieved', 'westonzoyland', 'going', 'plan', 'end']",ham
"['mean', 'website', 'yes']",ham
"['dunno', 'juz', 'askin', 'co', 'got', 'card', 'got', '20', '4', 'salon', 'called', 'hair', 'sense', 'tot', 'da', 'one', 'ü', 'cut', 'ur', 'hair']",ham
"['got', 'hella', 'gas', 'money', 'want', 'go', 'grand', 'nature', 'adventure', 'galileo', 'little', 'bit']",ham
"['mystery', 'solved', 'opened', 'email', 'sent', 'another', 'batch', 'sweetie']",ham
"['wat', 'time', 'liao', 'still', 'got']",ham
"['e', 'admin', 'building', 'might', 'b', 'slightly', 'earlier', 'call', 'u', 'reaching']",ham
"['wait', 'til', 'least', 'wednesday', 'see', 'get']",ham
"['ou', 'guaranteed', 'latest', 'nokia', 'phone', '40gb', 'ipod', 'mp3', 'player', '500', 'prize', 'txt', 'word', 'collect', '83355', 'ibhltd', 'ldnw15h', '150p', 'mtmsgrcvd18']",spam
"['hello', 'saturday', 'go', 'texting', 'see', 'decided', 'anything', 'tomo', 'trying', 'invite', 'anything']",ham
"['yes', 'started', 'send', 'request', 'make', 'pain', 'came', 'back', 'back', 'bed', 'double', 'coin', 'factory', 'gotta', 'cash', 'nitros']",ham
"['love', 'holiday', 'monday', 'feeling', 'even', 'go', 'dentist', 'hour']",ham
"['big', 'god', 'bring', 'success']",ham
"['sm', 'service', 'inclusive', 'text', 'credit', 'pls', 'goto', 'www', 'comuk', 'net', 'login', '3qxj9', 'unsubscribe', 'stop', 'extra', 'charge', 'help', '08702840625', 'comuk', '220', 'cm2', '9ae']",spam
"['wewa', '130', 'iriver', '255', '128', 'mb']",ham
"['yup', 'anything', 'lor', 'u', 'dun', 'wan', 'ok']",ham
"['honeymoon', 'outfit']",ham
"['congratulation', 'ur', 'awarded', '500', 'cd', 'voucher', '125gift', 'guaranteed', 'free', 'entry', '2', '100', 'wkly', 'draw', 'txt', 'music', '87066']",spam
"['hi', 'babe', 'thanks', 'coming', 'even', 'though', 'didnt', 'go', 'well', 'wanted', 'bed', 'hope', 'see', 'soon', 'love', 'kiss', 'xxx']",ham
"['get', 'headache', 'trying', 'figure', 'u', 'trust', 'math', 'promise']",ham
"['hi', 'dear', 'saw', 'dear', 'happy', 'battery', 'low']",ham
"['sir', 'send', 'group', 'mail', 'check']",ham
"['end', 'might', 'still', 'vomit', 'okay', 'everything', 'come']",ham
"['thanks', 'yesterday', 'sir', 'wonderful', 'hope', 'enjoyed', 'burial', 'mojibiola']",ham
"['like', 'cheap', 'happy', 'splash', 'wine', 'make', 'feel', 'better']",ham
"['double', 'eviction', 'week', 'spiral', 'michael', 'good', 'riddance']",ham
['wish'],ham
"['boat', 'still', 'mom', 'check', 'yo', 'half', 'naked']",ham
"['wot', 'u', '2', 'bitch']",ham
"['ur', 'going', '2', 'bahamas', 'callfreefone', '08081560665', 'speak', 'live', 'operator', 'claim', 'either', 'bahamas', 'cruise', '2000', 'cash', '18', 'opt', 'txt', 'x', '07786200117']",spam
"['regret', 'inform', 'u', 'nh', 'made', 'mistake', 'u', 'never', 'actually', 'born', 'please', 'report', '2', 'yor', 'local', 'hospital', '2b', 'terminated', 'r', 'sorry', '4', 'inconvenience']",ham
"['lol', 'know', 'dramatic', 'school', 'already', 'closed', 'tomorrow', 'apparently', 'drive', 'inch', 'snow', 'supposed', 'get']",ham
"['want', 'tell', 'bad', 'feel', 'basically', 'time', 'text', 'lately', 'need', 'drug']",ham
"['unni', 'thank', 'dear', 'recharge', 'rakhesh']",ham
"['pls', 'send', 'address', 'sir']",ham
"['k', 'work', 'something']",ham
"['sister', 'got', 'placed', 'birla', 'soft', 'da']",ham
"['sorry', 'missed', 'call', 'please', 'call', 'back']",ham
"['got', 'video', 'tape', 'pple', 'type', 'message', 'lor', 'u', 'free', 'wan', '2', 'help', 'hee', 'co', 'noe', 'u', 'wan', '2', 'watch', 'infernal', 'affair', 'ask', 'u', 'along', 'asking', 'shuhui', 'oso']",ham
"['fine', 'bitch', 'later']",ham
"['ha', 'must', 'walk', 'everywhere', 'cannot', 'take', 'tram', 'cousin', 'said', 'walk', 'vic', 'market', 'hotel']",ham
"['project', 'pa', 'come']",ham
"['haf', 'enuff', 'space', 'got', 'like', '4', 'mb']",ham
"['gonna', 'say', 'sorry', 'would', 'normal', 'starting', 'panic', 'time', 'sorry', 'seeing', 'tuesday']",ham
"['tot', 'group', 'mate', 'lucky', 'havent', 'reply', 'wat', 'time', 'ü', 'need', 'leave']",ham
"['yesterday', 'going', 'home']",ham
"['met', 'alex', 'nichols', 'middle', 'school', 'turn', 'dealing']",ham
"['sm', 'service', 'inclusive', 'text', 'credit', 'pls', 'goto', 'www', 'comuk', 'net', 'login', '3qxj9', 'unsubscribe', 'stop', 'extra', 'charge', 'help', '08702840625', 'comuk', '220', 'cm2', '9ae']",spam
"['luton', '0125698789', 'ring', 'ur', 'around', 'h']",ham
"['school', 'n', 'da', 'lab', 'stuff', 'give', 'call', 'ü', 'r', 'done']",ham
"['ü', 'login', 'dat', 'time', 'dad', 'fetching', 'ü', 'home']",ham
"['dunno', 'lei', 'thk', 'mum', 'lazy', 'go', 'neva', 'ask', 'yet']",ham
"['yar', 'lor', 'wait', '4', 'mum', '2', 'finish', 'sch', 'lunch', 'lor', 'whole', 'morning', 'stay', 'home', 'clean', 'room', 'room', 'quite', 'clean', 'hee']",ham
"['going', 'write', 'ccna', 'exam', 'week']",ham
"['sorry', 'vikky', 'watching', 'olave', 'mandara', 'movie', 'kano', 'trishul', 'theatre', 'wit', 'frnds']",ham
"['think', 'might', 'give', 'miss', 'teaching', 'til', 'twelve', 'lecture', 'two', 'damn', 'working', 'thing']",ham
"['ur', 'paper', 'today', 'e', 'morn', 'aft']",ham
"['hey', 'look', 'like', 'wrong', 'one', 'kappa', 'guy', 'number', 'still', 'phone', 'want', 'text', 'see', 'around']",ham
"['say', 'good', 'sign', 'well', 'know', 'track', 'record', 'reading', 'woman']",ham
"['urgent', '2nd', 'attempt', 'contact', 'u', '900', 'prize', 'yesterday', 'still', 'awaiting', 'collection', 'claim', 'call', '09061702893', 'acl03530150pm']",spam
"['u', 'secret', 'admirer', 'looking', '2', 'make', 'contact', 'u', 'find', 'r', 'reveal', 'think', 'ur', 'special', 'call', '09058094599']",spam
"['xmas', 'offer', 'latest', 'motorola', 'sonyericsson', 'nokia', 'free', 'bluetooth', 'dvd', 'double', 'min', '1000', 'txt', 'orange', 'call', 'mobileupd8', '08000839402', 'call2optout', '4qf2']",spam
"['receiving', 'week', 'triple', 'echo', 'ringtone', 'shortly', 'enjoy']",spam
"['hello', 'baby', 'get', 'back', 'mom', 'setting', 'computer', 'filling', 'belly', 'go', 'loverboy', 'miss', 'already', 'sigh']",ham
"['got', 'message', 'ignoring', 'yes', 'shopping']",ham
"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum1', 'hurt', 'u', 'smile', 'becoz', 'someone', 'still', 'love', 'see', 'u', 'smiling']",ham
"['fact', 'leave', 'think', 'addie', 'go', 'back', 'school', 'tues', 'wed']",ham
"['ü', 'neva', 'tell', 'noe', 'home', 'da', 'aft', 'wat']",ham
"['going', '4', 'lunch', 'wif', 'family', 'aft', 'dat', 'go', 'str', '2', 'orchard', 'lor']",ham
"['later', 'guess', 'needa', 'mcat', 'study']",ham
"['heard', 'u4', 'call', '4', 'rude', 'chat', 'private', 'line', '01223585334', 'cum', 'wan', '2c', 'pic', 'gettin', 'shagged', 'text', 'pix', '8552', '2end', 'send', 'stop', '8552', 'sam', 'xxx']",spam
"['hey', 'gal', 'anyone', 'u', 'going', 'e', 'driving', 'centre', 'tmr']",ham
"['urgent', 'trying', 'contact', 'last', 'weekend', 'draw', 'show', '900', 'prize', 'guaranteed', 'call', '09061701939', 'claim', 'code', 's89', 'valid', '12hrs']",spam
"['effect', 'irritation', 'ignore']",ham
"['get', 'brand', 'new', 'mobile', 'phone', 'agent', 'mob', 'plus', 'load', 'goody', 'info', 'text', 'mat', '87021']",spam
