Message,Label
sad story man last week b day wife nt wish parent forgot n kid went work even colleague wish entered cabin pa said happy b day bos felt special askd 4 lunch lunch invited apartment went said u mind go bedroom minute ok sed sexy mood came 5 minuts latr wid cake n wife parent kidz friend n colleague screaming surprise waiting sofa naked,0
ya nice ready thursday,0
dear denying word please,0
need coz never go,0
new car house parent new job hand,0
sent type food like,0
oh ok didnt know meant yep baby jontin,0
ok much though h friday cant wait dunno wot hell im gonna another 3 week become slob oh wait already done,0
nah im goin 2 wrks j wot bout u,0
brother transfered lt gt lt gt pa,0
trying find chinese food place around,0
going 4 dinner soon,0
plan pongal,0
auction round 4 highest bid 54 next maximum bid 71 bid send bid e g 10 bid 10 83383 good luck,1
fine remember,0
got rumour going buy apartment chennai,0
thank much skyped wit kz sura didnt get pleasure company hope good given ultimatum oh countin aburo enjoy message sent day ago,0
hiya u paying money account thanks got pleasant surprise checked balance u c get statement 4 acc,0
spare power supply,0
hows pain dear r u smiling,0
ok good making money,0
coming home class right need work shower,0
give everything want need actually could better yor got money get work get man pay rent even fill fucking gas tank yes stressed depressed even call home thanksgiving cuz tell nothing,0
mean fat head,0
dad get back,0
warner village 83118 c colin farrell swat wkend warner village get 1 free med popcorn show msg ticket kiosk valid 4 7 12 c c kiosk reply sony 4 mre film offer,1
quite lor dun tell wait get complacent,0
ill obey,0
actually getting ready leave house,0
ü give time walk,0
luck 2 catch put,0
solihull want anything,0
yeah jay sort fucking retard,0
yo call get chance friend mine wanted ask big order,0
yar lor u noe u used dat route,0
thanx 4 time spent 2geva bin mint ur baby want u xxxx,0
dear good morning feeling dear,0
tell address,0
drug able eat,0
today workin free oso gee thgt u workin ur fren shop,0
good good billy mate gone jogging enjoy concert,0
ok da already planned wil pick,0
cool text way,0
miss,0
beautiful tomorrow never come come already today hunt beautiful tomorrow waste wonderful today goodmorning,0
goodmorning today late 1hr,0
opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls reply,0
call later network urgnt sm,0
dear voucher holder next meal u use following link pc 2 enjoy 2 4 1 dining experiencehttp www vouch4me com etlp dining asp,1
4 costa del sol holiday 5000 await collection call 09050090044 toclaim sae tc pobox334 stockport sk38xh cost 1 50 pm max10mins,1
tot group mate lucky havent reply wat time ü need leave,0
ful song lyric,0
hey sorry didntgive ya bellearlier hunny bedbut mite go 2 thepub l8tr uwana mt load luv jenxxx,0
save stress person dorm account send account detail money sent,0
msg rajini come,0
10 min later k,0
hi babe im home wanna something xx,0
hope result consistently intelligent kind start asking practicum link keep ear open best ttyl,0
lt gt great loxahatchee xmas tree burning update totally see star,0
g w r,0
please call customer service representative 0800 169 6031 10am 9pm guaranteed 1000 cash 5000 prize,1
k k pa lunch aha,0
thts god gift bird human hav natural gift frm god,0
ya tel wats ur problem,0
omg want scream weighed lost weight woohoo,0
take care n get well soon,0
1 thing change sentence want 2 concentrate educational career im leaving,0
didnt complete gist oh,0
dear good morning,0
house maid murderer coz man murdered lt gt th january public holiday govt instituitions closed including post office understand,0
hey u still gym,0
could ask carlos could get anybody else chip,0
mean post wrote like many time ritten stuff let sit feeling time angry left hit send stop checked phone got car said sleep bored time clean fold laundry etc least make bed,0
dunno close oredi ü v fan,0
u r subscribed 2 textcomp 250 wkly comp 1st wk free question follows subsequent wks charged 150p msg 2 unsubscribe txt stop 2 84128 custcare 08712405020,1
k addie amp art get home,0
okay name ur price long legal wen pick u ave x am xx,0
ok prob come lunch,0
would ip address test considering computer minecraft server,0
started dont stop pray good idea anything see help guy forward link,0
k 2marrow coming class,0
wen u miss someone person definitely special u person special miss keep touch gdeve,0
know taj mahal symbol love lesser known fact 1 mumtaz shahjahan 4th wife 7 wife 2 shahjahan killed mumtaz husband marry 3 mumtaz died lt gt th delivery 4 married mumtaz sister question arises hell love great hari,0
co lar ba dao ok 1 pm lor u never ask go ah said u would ask fri said u ask today,0
wat time u finish ur lect today,0
best msg hard person u know one step foward make u fall love amp one step back ruin ur friendship good night,0
love give massage use lot baby oil fave position,0
ok arm feeling weak cuz got shot go another time,0
depends individual lor e hair dresser say pretty parent say look gong u kaypoh also dunno wat collecting,0
please text anymore nothing else say,0
telling coulda real valentine u never pick nothing,0
diet ate 1 many slice pizza yesterday ugh always diet,0
great p diddy neighbor come toothpaste every morning,0
twenty past five said train durham already coz reserved seat,0
ok ask abt e movie u wan ktv oso,0
fine absolutly fine,0
account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt,0
free ringtone reply real poly eg real1 1 pushbutton 2 dontcha 3 babygoodbye 4 golddigger 5 webeburnin 1st tone free 6 u join 3 wk,1
bookedthe hut also time way,0
water logging desert geoenvironmental implication,0
u make fb list,0
liked new house,0
good afternoon glorious anniversary day sweet j hope find happy content prey think send teasing kiss across sea coaxing image fond souveniers cougar pen,0
neva grumble sad lor hee buy tmr lor aft lunch still meetin 4 lunch tmr neva hear fr lei ü got lot work ar,0
got back dislike bed,0
18 day euro2004 kickoff u kept informed latest news result daily unsubscribe send get euro stop 83222,1
pls speak wont ask anything friendship,0
released another italian one today cosign option,0
hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698,1
good day mine really busy much tomorrow night,0
free msg single find partner area 1000 real people waiting chat send chat 62220cncl send stopcs 08717890890 1 50 per msg,1
head straight,0
want send something sell fast lt gt k easy money,0
oh god gonna google nearby cliff,0
hey tell blake address carlos wanted meet got lost answering phone,0
u got person story,0
4 costa del sol holiday 5000 await collection call 09050090044 toclaim sae tc pobox334 stockport sk38xh cost 1 50 pm max10mins,1
honeybee said sweetest world god laughed amp said wait u havnt met person reading msg moral even god crack joke gm gn ge gn,0
could read love answered,0
ta daaaaa home babe still,0
sent jd customer service cum account executive ur mail id detail contact u,0
dunno wat get 4,0
hi dear call urgnt know whats problem want work problem least tell wating reply,0
want explicit sex 30 sec ring 02073162414 cost 20p min,1
chikku nt yet ya free,0
miss ya need ya want ya love ya,0
dear subscriber ur draw 4 100 gift voucher b entered receipt correct an elvis presley birthday txt answer 80062,1
u 2,0
call message missed call,0
langport sorry probably bed 9pm suck ill xmas go2sri lanka,0
darren saying dat u meeting da ge den dun meet 4 dinner co later u leave xy feel awkward den u meet 4 lunch lor,0
today song dedicated day song u dedicate send ur valuable frnds first rply,0
hi asked waheeda fathima leave,0
pleassssssseeeeee tel v avent done sportsx,0
yes princess want catch big strong hand,0
ya ü taking ure practical lesson start june,0
depends would like treated,0
forget though love walk beside watching keeping heart warm,0
great news call freefone 08006344447 claim guaranteed 1000 cash 2000 gift speak live operator,1
u lunch alone bored,0
class lt gt reunion,0
still working time also tried adding zero saving checking lt gt,0
yet like keep touch easiest way barcelona way ru house,0
boltblue tone 150p reply poly mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tone txt,1
height oh shit situation guy throw luv letter gal fall brother head who gay,0
next lt gt hour imma flip shit,0
r u meeting da ge nite tmr,0
dude fake frnds got money thts reffering u u member wit mail link u vl credited lt gt r il getiing lt gt r draw acc wen lt gt r,0
hello love get interview today happy good boy think missing,0
shall ask one thing dont mistake,0
valued customer pleased advise following recent review mob awarded 1500 bonus prize call 09066364589,1
like talk pa able dont know,0
reminder o2 get 2 50 pound free call credit detail great offer pls reply 2 text valid name house postcode,1
400 xmas reward waiting computer randomly picked loyal mobile customer receive 400 reward call 09066380611,1
haha awesome minute,0
pocked,0
current leading bid 151 pause auction send customer care 08718726270,1
pls help tell sura expecting battery hont pls send message download movie thanks,0
wanted ask ü wait 4 finish lect co lect finish hour anyway,0
abt making pic bigger,0
walked mom right stagwood pas right winterstone left victor hill address lt gt,0
thanks lovely wisheds rock,0
yo sorry shower sup,0
cool like swimming pool jacuzzi house,0
know girl always safe selfish know got pa thank good night,0
ok omw castor,0
forgotten might couple buck send tomorrow k love ya,0
somebody set website play hold em using eve online spacebucks,0
told tell stupid hear wont tell anything dad called brother spoken,0
great hope using connection mode men also co never know old friend lead today,0
place man,0
place want da,0
sad story man last week b day wife nt wish parent forgot n kid went work even colleague wish,0
nokia 7250i get win free auction take part send nokia 86021 hg suite342 2lands row w1jhl 16,1
check wid corect speling e sarcasm,0
u gonna get deus ex,0
free call,0
usual iam fine happy amp well,0
yes place town meet exciting adult single uk txt chat 86688 150p msg,1
wats ur opinion abt abt character,0
yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 go badly cheer,0
wait lt gt min,0
u sick still go shopping,0
cant pick phone right pls send message,0
guy flash go call call madam take care oh,0
uploaded mine facebook,0
hair cream shipped,0
drama pls enough family struggling hot sun strange place reason ego going invited actually necessity go wait serious reppurcussions,0
3 free tarot text find love life try 3 free text chance 85555 16 3 free msg 1 50,1
eek lot time especially since american pie like 8 minute long stop singing,0
hey charles sorry late reply,0
searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,0
fighting world easy u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,0
hey missed tm last night phone charge smile meeting friend shortly,0
tell quite long co finish film yet,0
sorry missed call please call back,0
want new nokia 3510i colour phone delivered tomorrow 200 free minute mobile 100 free text free camcorder reply call 8000930705,1
like v shock leh co telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor,0
toshiba portege m100 gd,0
ü noe ben going,0
pls dont play others life,0
dear take care reaching home love u lot,0
2 doc appointment next week tired shoving stuff ugh normal body,0
u r winner u ave specially selected 2 receive 1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810710p min 18,1
freemsg claim ur 250 sm message text ok 84025 use web2mobile 2 ur mate etc join txt250 com 1 50p wk c box139 la32wu 16 remove txtx stop,1
also remember bead come ever,0
dun believe wat,0
huh fast dat mean u havent finished painting,0
r u cooking dinner,0
urgent 2nd attempt contact u 900 prize yesterday still awaiting collection claim call 09061702893,1
thats cool cum,0
evry emotion dsn hav word evry wish dsn hav prayrs u smile world wit u othrwise even drop tear dsn lik 2 stay wit u b happy good morning keep smiling,0
yeah got list u joanna feeling really anti social,0
lol alright thinkin haha,0
thanks honey great day,0
laid airtel line rest,0
ya referin mei ex wat ah waitin 4 u treat somebody shld b rich liao gd den u dun work frm tmr onwards,0
help u swoop picking u wherever ur bird r meeting u want,0
still checked da,0
would good phone tomo lunchtime shall organise something,0
hi durban still number,0
several sir,0
importantly discus u,0
ok problem u frm wats matter,0
sent lanre fakeye eckankar detail mail box,0
master buy bb co sale bf,0
sound gd haha wah u yan jiu fast liao,0
awesome plan get time like lt gt text detail wee bit,0
said bad dat e gal know u wat u,0
check error difficulty correction,0
u dun say early hor u c already say,0
yeah stand close tho catch something,0
bloody hell cant believe forgot surname mr ill give u clue spanish begin,0
gonna blake night might able get little early,0
wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,0
lol could starve lose pound end day,0
u secret admirer looking 2 make contact u find r reveal think ur special call 09065171142 stopsms 08718727870150ppm,1
think sent text home phone cant display text still want send number,0
talk g x,0
bit ur smile hppnss drop ur tear sorrow part ur heart life heart like mine wil care u forevr goodfriend,0
get,0
make sure alex know birthday fifteen minute far concerned,0
hi sexychat girl waiting text text great night chatting send stop stop service,1
actually waiting 2 week start putting ad,0
oh usual vijay film different,0
oops 4 got bit,0
compliment away system side,0
call freephone 0800 542 0578,1
lol would awesome payback,0
late,0
ok bag,0
asked sen come chennai search job,0
say lt gt year old man money last lt gt still waiting check,0
thanks subscription ringtone uk mobile charged 5 month please confirm replying yes reply charged,1
wanna gym,0
never believe actually got taunton wow,0
bruce b down amp fletcher,0
quite late lar ard 12 anyway wun b drivin,0
took mr owl 3 lick,0
much would cost hire hitman,0
xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas,0
one issue california okay snow manageable,0
yes please leave lt gt lt gt leave,0
made day great day,0
fighting world easy u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,0
u look 4 da lib got stuff havent finish yet,0
idk sitting stop shop parking lot right bawling eye feel like failure everything nobody want feel like failing,0
anything lor toa payoh got place 2 walk meh,0
mean come chase stated watch many movie want,0
sorry im stil fucked last nite went tobed 430 got 4 work 630,0
eatin lor goin back work soon e mountain deer show huh watch b4 liao nice,0
nothing getting msg dis name wit different,0
taking derek amp taylor walmart back time done leave mouse desk text priscilla ready,0
ever green quote ever told jerry cartoon person irritates u always one love u vry much fails express gud nyt,0
u download fring app,0
den weekday got special price haiz cant eat liao cut nail oso muz wait finish drivin wat lunch still muz eat wat,0
rcv msg chat svc free hardcore service text go 69988 u get nothing u must age verify yr network try,1
girl stay bed girl need recovery time id rather pas fun cooped bed,0
thanks ringtone order reference number x49 mobile charged 4 50 tone arrive please call customer service 09065989182,1
baby promise treat well bet take good care,0
well must pain catch,0
hi love go day fuck morning woke dropped cell way stair seems alright phews miss,0
dear voucher holder 2 claim week offer pc go http www e tlp co uk expressoffer t c apply 2 stop text txt stop 80062,1
sorry call later meeting sir,0
tmr timin still da wat co got lesson 6,0
yes watching footie worried going blow phil neville,0
short cute good person dont try prove gud noon,0
cheer card time year already,0
frnd juz word merely relationship silent promise say wherevr whenevr forevr gudnyt dear,0
aight let know gonna around usf,0
going good problem still need little experience understand american customer voice,0
dad gonna call get work ask crazy question,0
aight yo dat straight dogg,0
cuz ibored wanna study,0
hi always online yahoo would like chat someday,0
sure whenever show fuck gt,0
part checking iq,0
honey boo missing u,0
take exam march 3,0
much fight good nite,0
ya onion roast,0
good morning repair shop reason hour,0
love hope anything drastic dare sell pc phone,0
email alertfrom jeri stewartsize 2kbsubject low cost prescripiton drvgsto listen email call 123,1
sorry call later,0
freemsg 1 month unlimited free call activate smartcall txt call 68866 subscriptn3gbp wk unlimited call help 08448714184 stop txt stop landlineonly,1
exam february 4 wish great day,0
taxt massage tie po argh ok lool,0
uncle abbey happy new year abiola,0
hungry gay guy feeling hungry 4 call 08718730555 10p min stop text call 08712460324 10p min,1
lol made plan new year,0
happened interview,0
pattern recently crap weekend,0
okies go yan jiu skip ard oso go cine den go mrt one blah blah blah,0
dear know lt gt th lt gt th birthday loving gopalettan planning give small gift day like participate welcome please contact admin team detail,0
made payment dont much sorry would want fedex way,0
romantic paris 2 night 2 flight 79 book 4 next year call 08704439680ts c apply,1
lady first genus second k,0
wake long ago already dunno thing,0
wont wat wit guy,0
hey kate hope ur ok give u buz wedlunch go outsomewhere 4 adrink town cud go 2watershd 4 bit ppl fromwrk bthere love petexxx,0
many day since,0
ya cant display internal sub gotta extract,0
urgent trying contact u today draw show 2000 prize guaranteed call 09058094507 land line claim 3030 valid 12hrs,1
maybe find something else instead,0
oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz,0
currently message awaiting collection collect message call 08718723815,1
sorry dude dont know forgot even dan reminded sorry hope guy fun,0
single line big meaning miss anything 4 ur best life miss ur best life anything gud nyt,0
dear got lt gt dollar hi hi,0
ü decide faster co si going home liao,0
thanks looking really appreciate,0
god created gap btwn ur finger dat sum1 vry special fill gap holding ur hand plz dont ask created much gap leg,0
hi home calicut,0
howz pain come today said ystrday ice medicine,0
poyyarikatur kolathupalayam unjalur post erode dis lt gt,0
watching cartoon listening music amp eve go temple amp church u,0
anything lor go go lor,0
hey tmr maybe meet yck,0
room,0
urgent trying contact last weekend draw show 900 prize guaranteed call 09061701851 claim code k61 valid 12hours,1
ranjith cal drpd deeraj deepak 5min hold,0
hi babe thanks coming even though didnt go well wanted bed hope see soon love kiss xxx,0
want mapquest something look usf dogwood drive tiny street parking lot,0
dis yijue jus saw ur mail case huiming havent sent u num dis num,0
anyway holla whenever around need excuse go creep people sarasota,0
plan family set stone,0
kit strip billed 150p netcollex ltd po box 1013 ig11 oja,1
know result,0
receiving week triple echo ringtone shortly enjoy,1
way school pls send ashley number,0
greatest test courage earth bear defeat without losing heart gn tc,0
oh get paid outstanding one commercial hasbro august made u jump many hoop get paid still,0
per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,0
nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also differ sure trust 9ja person sending account detail co,0
ya told asking wats matter,0
many company tell language,0
de asking like,0
xy trying smth u eat already havent,0
rude campus,0
currently scotland,0
ok ok ok whats ur today plan,0
computer fried essential part keep spare fucking idiot roommate looovvve leaving thing running full lt gt 7,0
88066 lost 12 help,1
anything lor,0
thats cool gentleman treat dignity respect,0
hi im relaxing time ever get 7am every day party good night get home tomorrow 5ish,0
money r lucky winner 2 claim prize text money 2 88600 1million give away ppt150x3 normal text rate box403 w1t1jy,1
sm service inclusive text credit pls goto www comuk net login unsubscribe stop extra charge help 08700469649 po box420 ip4 5we,1
dice art class 6 thru 9 thanks though idea time come tomorrow,0
someone contacted dating service entered phone becausethey fancy find call landline 09058098002 pobox1 w14rg 150p,1
hey glad u r better hear u treated urself digi cam good r 9pm fab new year c u coupla wks,0
piss talking someone realise u point read backwards,0
mm food da,0
dont thnk wrong calling u,0
yes glad made,0
hey r ü still online finished formatting,0
good evening sir hope nice day wanted bring notice late paying rent past month pay lt gt charge felt would inconsiderate nag something give great cost didnt speak however recession wont able pay charge month hence askin well ahead month end please help thank everything,0
lol oops sorry fun,0
didnt work oh ok goodnight fix ready time wake dearly missed good night sleep,0
im fine babe aint 2 much tho saw scary movie yest quite funny want 2mrw afternoon town mall sumthin xx,0
e best 4 ur driving tmr,0
oooh got plenty,0
hide anythiing keeping distance,0
please call 08712402578 immediately urgent message waiting,1
hoping would send message rent due dont enough reserve completely gone loan need hoping could balance lt gt way could get till mid march hope pay back,0
wont touch permission,0
confirm eating esplanade,0
clothes jewelry trip,0
home please call,0
shall get pouch,0
guy bitching acted like interested buying something else next week gave u free,0
pain urination thing else,0
wanna laugh try chit chat mobile logon txting word chat send 8883 cm po box 4217 london w1a 6zf 16 118p msg rcvd,1
rightio 11 48 well arent bright early morning,0
god picked flower dippeditinadew lovingly touched itwhichturnedinto u gifted tomeandsaid friend 4u,0
yup elaborating safety aspect issue,0
free video camera phone half price line rental 12 mths 500 cross ntwk min 100 txts call mobileupd8 08001950382 call2optout 674,1
watching cartoon listening music amp eve go temple amp church u,0
ok come n pick u engin,0
oh haha den shld went today gee nvm la kaiez dun mind goin jazz oso scared hiphop open cant catch,0
hey told name gautham ah,0
lmao fish memory need,0
er yep sure prop,0
askd u question hour answer,0
already one guy loving,0
hungry,0
okie,0
k k yesterday cbe,0
dont want hear anything,0
medical mission nigeria,0
oh god happy see message 3 day,0
think asking gym excuse lazy people jog,0
live next lt gt min,0
abj serving staying dad alone,0
tried contact reply offer 750 min 150 textand new video phone call 08002988890 reply free delivery tomorrow,1
da whats plan,0
yet chikku wat abt u,0
carlos pick swing usf little bit,0
msg r time pas silently say thinking u right also making u think least 4 moment gd nt swt drms shesil,0
winner valued network customer selected receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour,1
xmas new year eve ticket sale club day 10am till 8pm thurs fri sat night week selling fast,1
check room befor activity,0
try something dear read something exam,0
guy get used dumb realize,0
hey sexy bun day word morning ym think,0
sorry pain ok meet another night spent late afternoon casualty mean done stuff42moro includes time sheet sorry,0
someone u know asked dating service 2 contact cant guess call 09058091854 revealed po box385 m6 6wu,1
noe la u wana pei bf oso rite k lor day den,0
thank princess want see nice juicy booty,0
lmao take pic send,0
wow think common take back ur freak unless u chop,0
otherwise part time job na tuition,0
sure neighbor didnt pick,0
want sent lt gt mesages today thats sorry hurt,0
block breaker come deluxe format new feature great graphic mobile buy 5 replying get bbdeluxe take challenge,1
boy loved gal propsd bt didnt mind gv lv lttrs bt frnds threw thm boy decided 2 aproach gal dt time truck speeding towards gal wn 2 hit girl boy ran like hell n saved asked hw cn u run fast boy replied boost secret energy n instantly girl shouted energy n thy lived happily 2gthr drinking boost evrydy moral story hv free msg gud ni8,0
get opinion something first,0
coming back thursday yay gonna ok get money cheer oh yeah everything alright hows school call work,0
hav almost reached call unable connect u,0
hey pay salary de lt gt,0
good afternoon boytoy feeling today better hope good boy obedient slave please queen,0
today iz yellow rose day u love frndship give 1 misscall amp send ur frndz amp see many miss call u get u get 6missed u marry ur lover,0
much bad avoid like,0
new year eve ok went party boyfriend si hey,0
many lick take get center tootsie pop,0
dunno dad said coming home 2 bring u 4 lunch yup go w u lor call u reach school lor,0
donate 2 50 unicef asian tsunami disaster support fund texting donate 864233 2 50 added next bill,1
escape theatre going watch kavalan minute,0
havent add ü yet right,0
po de need job aha,0
dear chechi talk,0
urgent trying contact u today draw show 800 prize guaranteed call 09050000460 land line claim j89 po box245c2150pm,1
si catching e show e afternoon watching w c u wan 2 watch today tmr lor,0
thank much skyped wit kz sura didnt get pleasure company hope good given ultimatum oh countin aburo enjoy,0
nope thats fine might nap tho,0
sound great im going sleep good night,0
moon come color dream star make musical sm give warm peaceful sleep good night,0
ugh fuck resubbing eve,0
ey calm downon theacusations itxt u co iwana know wotu r doin thew end haventcn u age ring ur up4 nething sat love j xxx,0
jus telling u dat b leaving 4 shanghai 21st instead haf time 2 meet cya,0
valentine game send dis msg ur friend 5 answer r someone really love u ques colour suit best rply,0
chennai velachery,0
mom want know,0
change fb jaykwon thuglyfe falconerf,0
bugis juz wat walking home oredi ü late reply oso saw top dat like din buy r ü,0
shall call dear food,0
u awake snow,0
k k watch film,0
purity friendship two smiling reading forwarded message smiling seeing name gud evng,0
fine simply sitting,0
ok day making dinner tonite invited,0
leave wif lar ü wan carry meh heavy da num 98321561 familiar ü,0
sorry never hear unless book one kinda joke thet really looking skinny white girl one line much camera something like casting look,0
nobody decide eat dad want chinese,0
probably still going stuff,0
u selected stay 1 250 top british hotel nothing holiday valued 350 dial 08712300220 claim national rate call bx526 sw73ss,1
slaaaaave must summon time wish come anymore,0
say slowly god love amp need clean heart blood send ten special people amp u c miracle tomorrow pls pls,0
thats cool day,0
accidentally brought em home box,0
tomarrow final hearing laptop case cant,0
win newest harry potter order phoenix book 5 reply harry answer 5 question chance first among reader,1
k k going,0
dont know come ask question like dont mistake,0
yup song bro creative neva test quality said check review online,0
7 go ok na,0
ok noe u busy really bored msg u oso dunno wat colour choose 4 one,0
tone club sub expired 2 sub reply monoc 4 mono polyc 4 polys 1 weekly 150p per week txt stop 2 stop msg free stream 0871212025016,1
mum ask ü buy food home,0
ü eatin later eatin wif frens lei ü going home first,0
ur ringtone service changed 25 free credit go club4mobiles com choose content stop txt club stop 87070 150p wk club4 po box1146 mk45 2wt,1
tell something thats okay,0
wnt buy bmw car urgently vry urgent hv shortage lt gt lac source arng dis amt lt gt lac thats prob,0
dont know ask brother nothing problem thing told,0
people see msg think iam addicted msging wrong bcoz know iam addicted sweet friend bslvyl,0
watching live,0
25p 4 alfie moon child need song ur mob tell ur m8s txt tone charity 8007 nokias poly charity polys zed 08701417012 profit 2 charity,1
call later afternoon onwords mtnl service get problem south mumbai hear cann listen,0
speak feel word better silence gud mrng,0
congrats nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3mins vary mobile 16 close 300603 post bcm4284 ldn wc1n3xx,1
urgent ur awarded complimentary trip eurodisinc trav aco entry41 1000 claim txt dis 87121 18 6 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj,1
500 new mobile 2004 must go txt nokia 89545 collect today 1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18,1
studying free next weekend,0
true lov n care wil nevr go unrecognized though somone often make mistake valuing definitly undrstnd start missing,0
real u getting yo need 2 ticket one jacket done already used multis,0
good morning dear great amp successful day,0
dun need use dial juz open da browser n surf,0
sun ah thk mayb dun anythin thk book e lesson e pilate orchard mrt u noe hor,0
k leaving soon little 9,0
dun believe u thk u told,0
long applebees fucking take,0
dled 3d imp,0
tried contact reply offer video handset 750 anytime network min unlimited text camcorder reply call 08000930705,1
thanks sending mental ability question,0
come take little time child afraid dark become teenager want stay night,1
going got exciting karaoke type activity planned debating whether play football eve feeling lazy though,0
